id,customer_id,order_date,discount,total_price,ship_date
1,3,4/1/2023,0.0,1125.0,
2,4,5/12/2023,0.0,360.0,
3,5,5/14/2023,0.0,475.0,
4,6,5/16/2023,0.0,550.0,
5,7,5/22/2023,0.0,325.0,9/20/2023
6,8,6/10/2023,0.0,225.0,
7,9,6/11/2023,135.0,210.0,9/27/2023
8,10,6/23/2023,0.0,560.0,
9,11,6/29/2023,0.0,280.0,
10,12,7/24/2023,0.0,540.0,
11,13,8/11/2023,0.0,200.0,
12,14,8/11/2023,0.0,210.0,
13,15,9/6/2023,50.0,220.0,
14,16,9/6/2023,0.0,210.0,
