Minor Pent.,3,5,7,8,10,12
Anasazi,2,3,4,7,9,11
Mojave,2,3,5,7,9,10
Mayan,4,6,7,10
East Indian,2,3,5,7,8,10
Spanish,1,3,5,7,8,10
Japanese,2,5,7,10,12,0
Magen Avot,1,3,4,6,8,9,11
Middle Eastern,1,4,5,7,8,0
NAI,1,3,5,7,8,10,12
