0,1,2,3,4,5,6,7
Minor_Pent,3,5,7,8,10,12,
Anasazi,2,3,4,7,9,11,
Mojave,2,3,5,7,9,10,
Mayan,4,6,7,10,0,0,
East_Indian_6,2,3,5,7,8,10,
Spanish_6,1,3,5,7,8,10,
Japanese_5,2,5,7,10,12,0,
Magen_Avot_7,1,3,4,6,8,9,11
Major,2,4,5,7,9,11,12
Middle_Eastern_5,1,4,5,7,8,0,
NAI,1,3,5,7,8,10,12
